word,jaccard,length,n_sentences,sep_max,peak_depth,combined,context,target
square,0.0847457627118644,24.833333333333332,12,0.06148053208986913,0.5663029100529101,0.875,0.8,0.75
stories,0.12048192771084337,23.333333333333332,12,0.10625985927051965,0.4854497354497354,0.9,0.6499999999999999,0.95
strength,0.11976047904191617,20.833333333333332,12,0.08141731222470597,0.7101521164021164,0.75,0.6,0.8
student,0.11442786069651742,27.25,12,0.028398768769370135,0.7404100529100529,0.675,0.8,0.625
subject,0.14285714285714285,22.916666666666668,12,0.07138879100481664,0.23374118165784832,0.7,0.65,0.7
succeeded,0.11235955056179775,23.25,12,0.14038479990429342,0.4966380070546737,0.9,0.6000000000000001,0.9
tossed,0.06896551724137931,17.25,12,0.2774716350767347,0.7800925925925926,0.825,0.75,0.85
travel,0.109375,15.916666666666666,12,0.14001670148637554,0.7151675485008818,0.575,0.42500000000000004,0.775
tried,0.13157894736842105,19.583333333333332,12,0.04406091901991097,0.7379298941798942,0.55,0.4,0.3
units,0.08108108108108109,29.0,12,0.1723102033138275,0.2551807760141094,0.9,0.8500000000000001,0.9
up,0.08029197080291971,16.833333333333332,12,0.10258602764871382,0.25733024691358025,0.8,0.575,0.9
variation,0.11797752808988764,25.833333333333332,12,0.12224369247754407,0.5196759259259259,0.8,0.85,0.7
vote,0.13777777777777778,30.916666666666668,12,0.07318289081255593,0.5459656084656085,0.55,0.35,0.675
want,0.09243697478991597,14.75,12,0.0522583127021789,0.2150022045855379,0.675,0.575,0.725
young,0.11353711790393013,32.333333333333336,12,0.05931448936462399,0.7718805114638447,0.75,0.7,0.675
about,0.08163265306122448,22.8,10,0.4881287150912815,0.4991181657848325,1.0,0.55,1.0
accompanied,0.11702127659574468,28.6,10,0.04590816630257496,0.4018959435626102,0.45,0.5,0.4
active,0.09740259740259741,25.3,10,0.12668150994512764,0.7588734567901234,0.8500000000000001,0.7,0.9
aegean,0.11235955056179775,30.2,10,0.00014711088604396703,0.04861111111111111,0.25,0.6,0.1
agreement,0.10614525139664804,29.3,10,0.07357698678970334,0.5380291005291006,0.7,0.5,0.55
ahead,0.06285714285714286,26.1,10,0.08913942509227324,0.3931878306878307,0.7,0.5,0.6499999999999999
apart,0.08982035928143713,24.4,10,0.18017171488867864,0.5423831569664903,0.65,0.30000000000000004,0.8
application,0.08860759493670886,24.6,10,0.11936087078518333,0.48048941798941797,0.7,0.6499999999999999,0.65
argued,0.13953488372093023,19.6,10,0.047101047303941476,0.6575727513227513,0.30000000000000004,0.2,0.45
asserted,0.12371134020618557,31.6,10,0.0012491544087727638,0.20287698412698413,0.1,0.2,0.1
assumption,0.12626262626262627,35.4,10,0.06148959530724415,0.1752094356261023,0.5,0.25,0.6499999999999999
assured,0.12021857923497267,29.2,10,0.0004300607575310499,0.00744047619047619,0.15000000000000002,0.2,0.15
attack,0.09722222222222222,21.8,10,0.3623226251867082,0.9783950617283951,0.7,0.15000000000000002,0.95
background,0.11794871794871795,31.0,10,0.11741816666391158,0.35548941798941797,0.6,0.35,0.8
band,0.1232876712328767,24.5,10,0.14468038744396627,0.7779982363315696,0.55,0.30000000000000004,0.8
begin,0.07792207792207792,22.5,10,0.11449046598540409,0.964726631393298,0.35,0.15000000000000002,0.6
bent,0.112,20.4,10,0.04233193397521969,0.6618165784832452,0.5,0.4,0.45
benefit,0.08875739644970414,25.8,10,0.25640069776111174,0.8150903880070547,0.9,0.75,0.9
board,0.13157894736842105,21.3,10,0.278280602561103,0.4103284832451499,1.0,0.95,1.0
books,0.12574850299401197,26.2,10,0.028997563653522025,0.6665013227513228,0.45,0.5,0.4
bother,0.1652892561983471,20.0,10,0.2645288109779358,0.7131283068783069,1.0,0.3,1.0
